CGFour:
Cell: [7] (384.298, 461.74808, 740.2813); node id: 7
Cell: [8] (737.6237, 476.67566, 86.46341); node id: 0
Cell: [9] (439.41058, 468.02863, 689.2289); node id: 1
Cell: [10] (54.7045, 473.63297, 25.973488); node id: 2
Cell: [11] (133.29907, 480.80176, 103.01109); node id: 3
Cell: [12] (527.2595, 477.51367, 71.28104); node id: 4
Cell: [13] (152.61758, 466.4442, 782.0358); node id: 5
Cell: [14] (298.20776, 489.85364, 708.1253); node id: 6
Cell: [15] (489.36713, 471.82446, 752.23413); node id: 7
Cell: [16] (32.41765, 473.33487, 547.71967); node id: 0
Cell: [17] (491.2804, 462.85074, 401.53955); node id: 1
Cell: [18] (281.44702, 460.61868, 87.08017); node id: 2
Cell: [19] (468.23743, 465.39114, 44.7379); node id: 3
Cell: [20] (622.6158, 488.51666, 487.89453); node id: 4
Cell: [21] (540.8171, 481.18082, 700.2017); node id: 5
Cell: [22] (543.51245, 479.21274, 370.5225); node id: 6
Cell: [23] (7.8455124, 475.28613, 50.271667); node id: 7
Cell: [24] (354.00308, 484.8489, 252.63785); node id: 0
Cell: [25] (563.13055, 470.61908, 123.52548); node id: 1
Cell: [26] (674.03296, 480.4045, 477.53906); node id: 2
Cell: [27] (549.289, 460.4162, 719.26575); node id: 3
Cell: [28] (238.99612, 475.61374, 103.87804); node id: 4
Cell: [29] (635.55817, 488.10852, 710.2878); node id: 5
Cell: [30] (180.26831, 483.92694, 571.5879); node id: 6
Cell: [31] (503.57678, 480.24954, 632.3152); node id: 7
Cell: [32] (107.37236, 478.7309, 249.96793); node id: 0
Cell: [33] (491.6584, 463.32794, 701.8525); node id: 1
Cell: [34] (145.59277, 472.43515, 314.14352); node id: 2
Cell: [35] (418.34503, 468.3183, 561.93677); node id: 3
Cell: [36] (314.146, 488.99362, 116.61301); node id: 4
Cell: [37] (404.97574, 480.51785, 661.16907); node id: 5
Cell: [38] (388.37335, 473.5291, 95.35896); node id: 6
Cell: [39] (523.10846, 481.99307, 34.548615); node id: 7
Cell: [40] (222.12253, 473.3945, -32.172516); node id: 0
Cell: [41] (107.1234, 482.8259, 549.8347); node id: 1
Cell: [42] (290.8043, 467.55502, 591.4938); node id: 2
Cell: [43] (630.3214, 478.52512, 160.39111); node id: 3
Cell: [44] (165.89606, 472.15057, 346.0087); node id: 4
Cell: [45] (-20.995804, 479.92743, 212.72095); node id: 5
Cell: [46] (458.958, 460.24442, 647.65485); node id: 6
Cell: [47] (708.43384, 464.04074, 194.78894); node id: 7
Cell: [48] (60.835236, 487.1642, 538.3204); node id: 0
Cell: [49] (379.719, 484.6514, 349.04523); node id: 1
Cell: [50] (203.88596, 486.80188, 148.80165); node id: 2
Cell: [51] (5.029724, 464.93268, 743.6173); node id: 3
Cell: [52] (391.20016, 478.18726, -47.418564); node id: 4
Cell: [53] (560.3386, 460.60907, 368.6919); node id: 5
Cell: [54] (131.34315, 470.14615, 176.21646); node id: 6
Cell: [55] (78.73576, 485.08728, 444.17877); node id: 7
Cell: [56] (318.73547, 486.98468, 107.109024); node id: 0
Cell: [57] (199.70514, 474.98688, 121.29329); node id: 1
Cell: [58] (568.4382, 470.97336, 100.04826); node id: 2
Cell: [59] (423.8839, 485.9869, 43.471573); node id: 3
Cell: [60] (-62.856503, 466.39157, -70.36282); node id: 4
Cell: [61] (678.3958, 474.92874, 341.5665); node id: 5
Cell: [62] (606.33704, 471.4538, 681.5304); node id: 6
Cell: [63] (-39.95017, 466.41394, 127.39908); node id: 7
Cell: [64] (170.34564, 462.15735, 674.79626); node id: 0
Cell: [65] (765.72314, 489.25778, 702.2873); node id: 1
Cell: [66] (-57.934113, 464.80023, 438.57587); node id: 2
Cell: [67] (101.095245, 478.6582, 351.26642); node id: 3
Cell: [68] (539.6326, 471.51797, 80.310745); node id: 4
Cell: [69] (132.95012, 480.2262, 750.3339); node id: 5
Cell: [70] (153.65613, 468.86807, 707.9099); node id: 6
Cell: [71] (552.9521, 465.51886, 165.21582); node id: 7
Cell: [72] (189.04086, 468.43396, 498.0609); node id: 0
Cell: [73] (146.3256, 465.48038, 654.6166); node id: 1
Cell: [74] (452.0973, 485.34103, 713.92487); node id: 2
Cell: [75] (186.1748, 460.5745, 409.76648); node id: 3
Cell: [76] (501.53088, 461.4118, 402.98544); node id: 4
Cell: [77] (456.1197, 466.91327, 232.8887); node id: 5
Cell: [78] (627.2109, 467.51526, 727.2031); node id: 6
Cell: [79] (657.1697, 488.69745, 652.3109); node id: 7
Cell: [80] (497.22876, 484.99396, 197.2763); node id: 0
Cell: [81] (28.61316, 482.04773, -83.58783); node id: 1
Cell: [82] (-68.12677, 481.75842, 97.95738); node id: 2
Cell: [83] (163.19525, 483.36093, 774.9589); node id: 3
Cell: [84] (762.11285, 472.1724, 481.96326); node id: 4
Cell: [85] (564.9641, 460.04102, 544.32); node id: 5
Cell: [86] (319.46564, 467.6773, 537.2681); node id: 6
Cell: [87] (536.9207, 479.31003, 778.3449); node id: 7
Cell: [88] (8.95031, 481.91315, 315.24237); node id: 0
Cell: [89] (433.46222, 462.97427, -16.63485); node id: 1
Cell: [90] (240.932, 478.8486, 474.21906); node id: 2
Cell: [91] (198.37988, 464.1031, 325.46234); node id: 3
Cell: [92] (599.9578, 483.27963, 187.63147); node id: 4
Cell: [93] (504.70813, 460.34387, 706.9934); node id: 5
Cell: [94] (153.09201, 466.5071, 52.969437); node id: 6
Cell: [95] (358.22644, 480.7293, 688.3995); node id: 7
Cell: [96] (750.9546, 468.0204, 243.34393); node id: 0
Cell: [97] (386.06406, 481.10092, 124.921524); node id: 1
Cell: [98] (217.32727, 472.7744, 91.55194); node id: 2
Cell: [99] (118.77673, 489.92014, -74.55614); node id: 3
CGThree:
Cell: [0] (622.2699, 343.3462, 293.65726); node id: 0
Cell: [1] (72.65529, 373.65604, 505.07367); node id: 1
Cell: [2] (106.441574, 280.34326, 449.59607); node id: 2
Cell: [3] (428.97058, 322.26782, 263.43573); node id: 3
Cell: [4] (384.2838, 243.34442, 558.3436); node id: 4
Cell: [5] (337.7444, 222.16837, -62.48299); node id: 5
Cell: [6] (834.9079, 277.83646, 23.155716); node id: 6
Cell: [7] (10.556541, 377.29974, 730.04095); node id: 7
Cell: [8] (152.85059, 371.53094, 131.6137); node id: 0
Cell: [9] (127.30524, 368.55487, 650.8246); node id: 1
Cell: [10] (229.03708, 253.112, 379.7129); node id: 2
Cell: [11] (75.90535, 299.32068, 575.105); node id: 3
Cell: [12] (501.82428, 282.4244, 547.98315); node id: 4
Cell: [13] (-60.844933, 375.67935, 649.1595); node id: 5
Cell: [14] (461.5213, 212.92908, 778.83997); node id: 6
Cell: [15] (665.4276, 318.01648, 583.6558); node id: 7
Cell: [16] (-48.087276, 287.03937, 749.3832); node id: 0
Cell: [17] (322.08875, 272.68835, -27.024544); node id: 1
Cell: [18] (495.3037, 231.54764, 91.194595); node id: 2
Cell: [19] (464.9959, 211.76636, 718.0089); node id: 3
Cell: [20] (144.62766, 287.4469, -60.275173); node id: 4
Cell: [21] (433.3266, 337.98947, 83.6828); node id: 5
Cell: [22] (460.9394, 228.56418, 807.6374); node id: 6
Cell: [23] (197.33337, 233.3419, 827.57074); node id: 7
Cell: [24] (161.5751, 275.7381, -38.54928); node id: 0
Cell: [25] (503.38257, 372.74255, 676.44257); node id: 1
Cell: [26] (630.79816, 296.4694, 157.03235); node id: 2
Cell: [27] (207.81848, 320.7536, 244.77515); node id: 3
Cell: [28] (-30.293976, 247.64108, 627.09393); node id: 4
Cell: [29] (601.0976, 314.4658, 204.40201); node id: 5
Cell: [30] (524.1026, 357.87695, 738.5671); node id: 6
Cell: [31] (92.94829, 263.10394, 26.615288); node id: 7
Cell: [32] (70.84534, 369.28967, 697.1226); node id: 0
Cell: [33] (823.6215, 318.8766, 26.593529); node id: 1
Cell: [34] (484.21307, 351.20566, 351.64807); node id: 2
Cell: [35] (134.90543, 314.2003, 360.527); node id: 3
Cell: [36] (618.458, 376.71042, 696.0326); node id: 4
Cell: [37] (217.77917, 279.26108, 326.7712); node id: 5
Cell: [38] (467.25317, 219.69836, 212.65057); node id: 6
Cell: [39] (837.7019, 307.09268, 866.2015); node id: 7
Cell: [40] (738.0935, 301.95413, 372.58472); node id: 0
Cell: [41] (562.0118, 380.71948, 456.86945); node id: 1
Cell: [42] (303.76694, 362.5339, 372.4669); node id: 2
Cell: [43] (803.68665, 376.07666, 739.2926); node id: 3
Cell: [44] (343.91714, 241.72455, 63.03247); node id: 4
Cell: [45] (450.75848, 238.84949, -0.7157669); node id: 5
Cell: [46] (736.5544, 319.96375, 307.4192); node id: 6
